funcid,dim,milestone,error
19,30,1,2.173539e+09
19,30,2,1.781928e+09
19,30,3,7.803136e+08
19,30,5,2.803068e+08
19,30,10,3.359324e+07
19,30,20,1.350756e+06
19,30,30,6.378217e+05
19,30,40,6.255102e+05
19,30,50,6.158253e+05
19,30,60,6.109803e+05
19,30,70,6.043751e+05
19,30,80,5.995824e+05
19,30,90,5.939863e+05
19,30,100,5.836843e+05
19,30,1,1.980885e+09
19,30,2,1.290414e+09
19,30,3,4.478827e+08
19,30,5,5.048877e+07
19,30,10,6.700155e+06
19,30,20,2.315189e+06
19,30,30,1.926675e+05
19,30,40,1.908072e+05
19,30,50,1.884669e+05
19,30,60,1.862358e+05
19,30,70,1.846274e+05
19,30,80,1.829657e+05
19,30,90,1.810199e+05
19,30,100,1.803050e+05
19,30,1,3.161168e+09
19,30,2,3.161168e+09
19,30,3,3.407292e+08
19,30,5,2.611460e+08
19,30,10,4.634653e+07
19,30,20,1.225691e+06
19,30,30,8.632957e+05
19,30,40,1.451448e+05
19,30,50,1.441681e+05
19,30,60,1.440111e+05
19,30,70,1.438351e+05
19,30,80,1.437477e+05
19,30,90,1.435219e+05
19,30,100,1.433067e+05
19,30,1,1.751104e+09
19,30,2,1.682449e+09
19,30,3,5.486693e+08
19,30,5,1.926848e+08
19,30,10,1.519950e+07
19,30,20,3.204340e+05
19,30,30,2.451814e+05
19,30,40,2.428866e+05
19,30,50,2.389287e+05
19,30,60,2.367525e+05
19,30,70,2.337314e+05
19,30,80,2.307388e+05
19,30,90,2.272611e+05
19,30,100,2.241628e+05
19,30,1,1.783271e+09
19,30,2,1.117479e+09
19,30,3,5.404071e+08
19,30,5,2.864562e+07
19,30,10,8.741895e+06
19,30,20,3.369015e+04
19,30,30,1.777447e+04
19,30,40,1.776337e+04
19,30,50,1.776068e+04
19,30,60,1.775837e+04
19,30,70,1.775640e+04
19,30,80,1.775427e+04
19,30,90,1.775281e+04
19,30,100,1.775240e+04
19,30,1,2.167306e+09
19,30,2,2.167306e+09
19,30,3,9.486431e+08
19,30,5,4.079286e+08
19,30,10,3.330783e+07
19,30,20,1.536567e+06
19,30,30,2.088585e+05
19,30,40,1.211918e+05
19,30,50,1.199217e+05
19,30,60,1.195456e+05
19,30,70,1.190922e+05
19,30,80,1.185948e+05
19,30,90,1.181513e+05
19,30,100,1.178944e+05
19,30,1,6.930492e+08
19,30,2,6.329343e+08
19,30,3,1.943505e+08
19,30,5,1.186929e+08
19,30,10,2.744574e+07
19,30,20,7.852588e+05
19,30,30,8.034464e+04
19,30,40,5.930157e+04
19,30,50,5.927695e+04
19,30,60,5.924927e+04
19,30,70,5.923359e+04
19,30,80,5.920174e+04
19,30,90,5.916858e+04
19,30,100,5.916071e+04
19,30,1,2.237726e+09
19,30,2,2.123203e+09
19,30,3,5.378818e+08
19,30,5,1.526514e+08
19,30,10,5.627408e+07
19,30,20,8.219674e+05
19,30,30,7.880813e+05
19,30,40,3.220937e+05
19,30,50,3.208202e+05
19,30,60,3.196448e+05
19,30,70,3.187550e+05
19,30,80,3.183322e+05
19,30,90,3.170225e+05
19,30,100,3.155660e+05
19,30,1,2.349507e+08
19,30,2,2.182561e+08
19,30,3,2.182561e+08
19,30,5,1.549771e+08
19,30,10,6.253249e+07
19,30,20,3.881955e+06
19,30,30,3.484214e+04
19,30,40,3.280892e+04
19,30,50,3.276731e+04
19,30,60,3.273536e+04
19,30,70,3.270669e+04
19,30,80,3.265892e+04
19,30,90,3.264498e+04
19,30,100,3.259810e+04
19,30,1,1.003483e+09
19,30,2,9.786364e+08
19,30,3,4.485409e+08
19,30,5,1.432069e+08
19,30,10,1.500132e+07
19,30,20,9.489841e+05
19,30,30,2.424603e+04
19,30,40,2.386382e+04
19,30,50,2.385583e+04
19,30,60,2.385028e+04
19,30,70,2.384350e+04
19,30,80,2.383434e+04
19,30,90,2.382460e+04
19,30,100,2.381992e+04
