funcid,dim,milestone,error
16,10,1,5.923371e+02
16,10,2,5.923371e+02
16,10,3,4.637665e+02
16,10,5,4.395442e+02
16,10,10,2.295704e+02
16,10,20,2.295704e+02
16,10,30,2.295704e+02
16,10,40,2.128837e+02
16,10,50,2.128837e+02
16,10,60,2.128837e+02
16,10,70,2.128837e+02
16,10,80,1.496446e+02
16,10,90,1.496446e+02
16,10,100,1.496446e+02
16,10,1,7.666076e+02
16,10,2,6.876609e+02
16,10,3,4.002551e+02
16,10,5,3.177304e+02
16,10,10,2.514833e+02
16,10,20,2.514833e+02
16,10,30,2.514833e+02
16,10,40,2.514833e+02
16,10,50,2.514833e+02
16,10,60,1.780159e+02
16,10,70,1.625212e+02
16,10,80,6.008146e+01
16,10,90,6.008146e+01
16,10,100,6.008146e+01
16,10,1,5.367477e+02
16,10,2,4.749721e+02
16,10,3,4.749721e+02
16,10,5,1.330246e+02
16,10,10,1.330246e+02
16,10,20,1.330246e+02
16,10,30,1.330246e+02
16,10,40,1.330246e+02
16,10,50,1.330246e+02
16,10,60,1.330246e+02
16,10,70,1.330246e+02
16,10,80,1.330246e+02
16,10,90,1.330246e+02
16,10,100,1.330246e+02
16,10,1,9.445114e+02
16,10,2,7.476377e+02
16,10,3,6.869634e+02
16,10,5,5.381749e+02
16,10,10,3.045650e+02
16,10,20,3.045650e+02
16,10,30,1.749085e+02
16,10,40,1.749085e+02
16,10,50,1.749085e+02
16,10,60,1.749085e+02
16,10,70,1.749085e+02
16,10,80,1.749085e+02
16,10,90,1.749085e+02
16,10,100,1.749085e+02
16,10,1,8.249074e+02
16,10,2,5.895605e+02
16,10,3,5.895605e+02
16,10,5,5.895605e+02
16,10,10,3.080314e+02
16,10,20,3.080314e+02
16,10,30,1.331544e+02
16,10,40,1.331544e+02
16,10,50,1.331544e+02
16,10,60,1.331544e+02
16,10,70,1.331544e+02
16,10,80,1.331544e+02
16,10,90,1.331544e+02
16,10,100,1.331544e+02
16,10,1,7.381667e+02
16,10,2,4.854277e+02
16,10,3,4.854277e+02
16,10,5,4.854277e+02
16,10,10,2.639799e+02
16,10,20,2.169905e+02
16,10,30,1.596272e+02
16,10,40,1.596272e+02
16,10,50,1.596272e+02
16,10,60,1.233455e+02
16,10,70,1.233455e+02
16,10,80,1.233455e+02
16,10,90,1.233455e+02
16,10,100,1.233455e+02
16,10,1,8.593317e+02
16,10,2,6.753384e+02
16,10,3,6.753384e+02
16,10,5,6.403048e+02
16,10,10,2.631938e+02
16,10,20,2.338718e+02
16,10,30,2.338718e+02
16,10,40,2.223588e+02
16,10,50,1.912565e+02
16,10,60,1.745458e+02
16,10,70,1.671875e+02
16,10,80,1.605612e+02
16,10,90,1.593480e+02
16,10,100,1.584131e+02
16,10,1,4.121319e+02
16,10,2,4.121319e+02
16,10,3,4.121319e+02
16,10,5,4.121319e+02
16,10,10,3.440754e+02
16,10,20,3.020452e+02
16,10,30,2.043707e+02
16,10,40,2.043707e+02
16,10,50,2.043707e+02
16,10,60,2.043707e+02
16,10,70,2.043707e+02
16,10,80,1.728326e+02
16,10,90,1.358282e+02
16,10,100,1.358282e+02
16,10,1,3.738426e+02
16,10,2,3.738426e+02
16,10,3,3.738426e+02
16,10,5,3.738426e+02
16,10,10,2.642786e+02
16,10,20,2.642786e+02
16,10,30,2.093842e+02
16,10,40,9.509283e+01
16,10,50,9.509283e+01
16,10,60,9.509283e+01
16,10,70,9.509283e+01
16,10,80,9.509283e+01
16,10,90,9.509283e+01
16,10,100,9.509283e+01
16,10,1,3.493246e+02
16,10,2,3.493246e+02
16,10,3,3.314881e+02
16,10,5,3.314881e+02
16,10,10,3.314881e+02
16,10,20,2.797344e+02
16,10,30,2.797344e+02
16,10,40,2.164386e+02
16,10,50,2.164386e+02
16,10,60,1.507706e+02
16,10,70,1.507706e+02
16,10,80,1.507706e+02
16,10,90,1.507706e+02
16,10,100,1.259149e+02
