funcid,dim,milestone,error
23,10,1,4.868017e+02
23,10,2,4.868017e+02
23,10,3,4.767149e+02
23,10,5,4.517587e+02
23,10,10,4.455358e+02
23,10,20,4.124684e+02
23,10,30,4.065201e+02
23,10,40,3.923079e+02
23,10,50,3.872197e+02
23,10,60,3.872197e+02
23,10,70,3.805891e+02
23,10,80,3.765739e+02
23,10,90,3.765739e+02
23,10,100,3.749165e+02
23,10,1,3.961922e+02
23,10,2,3.961922e+02
23,10,3,3.927717e+02
23,10,5,3.879265e+02
23,10,10,3.772960e+02
23,10,20,3.663259e+02
23,10,30,3.653445e+02
23,10,40,3.616485e+02
23,10,50,3.608358e+02
23,10,60,3.575010e+02
23,10,70,3.575010e+02
23,10,80,3.569467e+02
23,10,90,3.565679e+02
23,10,100,3.565679e+02
23,10,1,4.448695e+02
23,10,2,4.125514e+02
23,10,3,4.125514e+02
23,10,5,3.850077e+02
23,10,10,3.612535e+02
23,10,20,3.506713e+02
23,10,30,3.429356e+02
23,10,40,3.315611e+02
23,10,50,3.285405e+02
23,10,60,3.271280e+02
23,10,70,3.263799e+02
23,10,80,3.263799e+02
23,10,90,3.259004e+02
23,10,100,3.259004e+02
23,10,1,4.702914e+02
23,10,2,4.453210e+02
23,10,3,4.433551e+02
23,10,5,4.433551e+02
23,10,10,4.246663e+02
23,10,20,3.890781e+02
23,10,30,3.756835e+02
23,10,40,3.641604e+02
23,10,50,3.592938e+02
23,10,60,3.592938e+02
23,10,70,3.582806e+02
23,10,80,3.578070e+02
23,10,90,3.578070e+02
23,10,100,3.538838e+02
23,10,1,4.420587e+02
23,10,2,4.420587e+02
23,10,3,4.101909e+02
23,10,5,4.007854e+02
23,10,10,3.960032e+02
23,10,20,3.568646e+02
23,10,30,3.548358e+02
23,10,40,3.529982e+02
23,10,50,3.487316e+02
23,10,60,3.487316e+02
23,10,70,3.453466e+02
23,10,80,3.447277e+02
23,10,90,3.447277e+02
23,10,100,3.418075e+02
23,10,1,4.323170e+02
23,10,2,4.323170e+02
23,10,3,4.221458e+02
23,10,5,4.110110e+02
23,10,10,4.012417e+02
23,10,20,3.657389e+02
23,10,30,3.614233e+02
23,10,40,3.611861e+02
23,10,50,3.611861e+02
23,10,60,3.607637e+02
23,10,70,3.604126e+02
23,10,80,3.600884e+02
23,10,90,3.600884e+02
23,10,100,3.598523e+02
23,10,1,5.116161e+02
23,10,2,5.116161e+02
23,10,3,4.933602e+02
23,10,5,4.896161e+02
23,10,10,4.734824e+02
23,10,20,4.527195e+02
23,10,30,4.130701e+02
23,10,40,4.046805e+02
23,10,50,3.944148e+02
23,10,60,3.923236e+02
23,10,70,3.909313e+02
23,10,80,3.909313e+02
23,10,90,3.905102e+02
23,10,100,3.905102e+02
23,10,1,4.491087e+02
23,10,2,4.435891e+02
23,10,3,4.435891e+02
23,10,5,4.369306e+02
23,10,10,4.063284e+02
23,10,20,4.039469e+02
23,10,30,3.955344e+02
23,10,40,3.802351e+02
23,10,50,3.653891e+02
23,10,60,3.600844e+02
23,10,70,3.574348e+02
23,10,80,3.574348e+02
23,10,90,3.558129e+02
23,10,100,3.558129e+02
23,10,1,4.343961e+02
23,10,2,4.316734e+02
23,10,3,4.248667e+02
23,10,5,4.248667e+02
23,10,10,4.107420e+02
23,10,20,3.925671e+02
23,10,30,3.902503e+02
23,10,40,3.858664e+02
23,10,50,3.830076e+02
23,10,60,3.820042e+02
23,10,70,3.808200e+02
23,10,80,3.788473e+02
23,10,90,3.788473e+02
23,10,100,3.769926e+02
23,10,1,4.642527e+02
23,10,2,4.496982e+02
23,10,3,4.426915e+02
23,10,5,4.273908e+02
23,10,10,4.020737e+02
23,10,20,3.819823e+02
23,10,30,3.709623e+02
23,10,40,3.676515e+02
23,10,50,3.649167e+02
23,10,60,3.640994e+02
23,10,70,3.640994e+02
23,10,80,3.623457e+02
23,10,90,3.614345e+02
23,10,100,3.614345e+02
